"Sample" "Detector" "Cq"
"1010V10c" "RPL29_RQ" 0.308005891563276
"1010V12a" "ACTB_RQ" 0.045391199931117
"1010V12a" "B2M_RQ" 0.0276312016439654
"1010V12a" "RPL29_RQ" 0.118056820762327
"1010V12c" "ACTB_RQ" 0.315711927329732
"1010V12c" "B2M_RQ" 0.203646340917284
"1010V12c" "RPL29_RQ" 0.564375587900959
"1010V13a" "ACTB_RQ" 0.256441754810416
"1010V13a" "B2M_RQ" 0.278657307394205
"1010V13a" "RPL29_RQ" 0.439470023149197
"1010V13c" "ACTB_RQ" 0.0931426655335037
"1010V13c" "B2M_RQ" 0.0617005266526561
"1010V13c" "RPL29_RQ" 0.283032434439128
"1013S2a" "ACTB_RQ" 0.293044936737982
"1013S2a" "B2M_RQ" 0.0874667863373415
"1013S2a" "RPL29_RQ" 0.395963621819781
"1013S2c" "ACTB_RQ" 0.0593154051521874
"1013S2c" "B2M_RQ" 0.0281865988967485
"1013S2c" "RPL29_RQ" 0.215546696687103
"1013V10a" "ACTB_RQ" 0.231893511673419
"1013V10a" "B2M_RQ" 0.353322494812885
"1013V10a" "RPL29_RQ" 0.311660807985858
"1013V10c" "ACTB_RQ" 0.0560754734400499
"1013V10c" "B2M_RQ" 0.0914482641177052
"1013V10c" "RPL29_RQ" 0.124782975582467
"1013V11a" "ACTB_RQ" 0.289092600293219
"1013V11a" "B2M_RQ" 0.18105156242563
"1013V11a" "RPL29_RQ" 0.316560293805911
"1013V11c" "ACTB_RQ" 0.174113164915518
"1013V11c" "B2M_RQ" 0.109499081325429
"1013V11c" "RPL29_RQ" 0.297825415141593
"1014S2a" "ACTB_RQ" 0.176511367104777
"1014S2a" "B2M_RQ" 0.052733229748081
"1014S2a" "RPL29_RQ" 0.170477105460359
"1014S2c" "ACTB_RQ" 0.0284184396280797
"1014S2c" "B2M_RQ" 0.0172618301906712
"1014S2c" "RPL29_RQ" 0.106215779732774
"1014V10a" "ACTB_RQ" 0.11582243642998
"1014V10a" "B2M_RQ" 0.124966122855501
"1014V10a" "RPL29_RQ" 0.131839580416044
"1014V10c" "ACTB_RQ" 0.0539956093173757
"1014V10c" "B2M_RQ" 0.0443010231929144
"1014V10c" "RPL29_RQ" 0.126026738276315
"1014V12a" "ACTB_RQ" 0.0434492032706516
"1014V12a" "B2M_RQ" 0.0548186135196885
"1014V12a" "RPL29_RQ" 0.109617419879703
"1014V12c" "ACTB_RQ" 0.0466009764439317
"1014V12c" "B2M_RQ" 0.0744356155940254
"1014V12c" "RPL29_RQ" 0.0396721309740691
"1015S2a" "ACTB_RQ" 0.150229177793652
"1015S2a" "B2M_RQ" 0.146807757913904
"1015S2a" "RPL29_RQ" 0.260307766132375
"1015S2c" "ACTB_RQ" 0.0166062060181399
"1015S2c" "B2M_RQ" 0.0369640952152884
"1015S2c" "RPL29_RQ" 0.0686568933442744
"1015V10a" "ACTB_RQ" 0.0305787848382099
"1015V10a" "B2M_RQ" 0.0744175318960027
"1015V10a" "RPL29_RQ" 0.0612413403237946
"1015V10c" "ACTB_RQ" 0.013146017488117
"1015V10c" "B2M_RQ" 0.0528034793020785
"1015V10c" "RPL29_RQ" 0.089807279941128
"1015V12a" "ACTB_RQ" 0.187968839429292
"1015V12a" "B2M_RQ" 0.408552187622745
"1015V12a" "RPL29_RQ" 0.276730350001908
"1015V12c" "ACTB_RQ" 0.141892392720984
"1015V12c" "B2M_RQ" 0.402899613247796
"1015V12c" "RPL29_RQ" 0.193221114245351
"1015V13a" "ACTB_RQ" 0.0724006486069781
"1015V13a" "B2M_RQ" 0.0457791160341942
"1015V13a" "RPL29_RQ" 0.133311257470797
"1015V13c" "ACTB_RQ" 0.0509021429076914
"1015V13c" "B2M_RQ" 0.159646422340168
"1015V13c" "RPL29_RQ" 0.213032040879894
"1016S2a" "ACTB_RQ" 0.206846844346402
"1016S2a" "B2M_RQ" 0.257989855784393
"1016S2a" "RPL29_RQ" 0.361588926453159
"1016S2c" "ACTB_RQ" 0.0515762355397567
"1016S2c" "B2M_RQ" 0.0633375276770704
"1016S2c" "RPL29_RQ" 0.256484772770371
"1016V10a" "ACTB_RQ" 0.260476456432843
"1016V10a" "B2M_RQ" 0.707432037908098
"1016V10a" "RPL29_RQ" 0.26415757395446
"1016V10c" "ACTB_RQ" 0.192149818503544
"1016V10c" "B2M_RQ" 0.560713087137046
"1016V10c" "RPL29_RQ" 0.527309994574011
"1016V12a" "ACTB_RQ" 0.274322102386931
"1016V12a" "B2M_RQ" 0.225919899352573
"1016V12a" "RPL29_RQ" 0.414466135136936
"1016V12c" "ACTB_RQ" 0.077087685835418
"1016V12c" "B2M_RQ" 0.146083651120601
"1016V12c" "RPL29_RQ" 0.237552850563148
"1016V13a" "ACTB_RQ" 0.0274697019150326
"1016V13a" "B2M_RQ" 0.104357340165202
"1016V13a" "RPL29_RQ" 0.132394064392397
"1016V13c" "ACTB_RQ" 0.0540423125640757
"1016V13c" "B2M_RQ" 0.102454254803409
"1016V13c" "RPL29_RQ" 0.252535361727627
"1018S2a" "ACTB_RQ" 0.383716327522487
"1018S2a" "B2M_RQ" 0.114522191830738
"1018S2a" "RPL29_RQ" 0.604583347926332
